block,image_id,file,stratum,w,h
1,000005,000005.jpg,large,3024,4032
1,000007,000007.jpg,large,4284,5712
1,000029,000029.jpg,large,3024,4032
1,000086,000086.jpg,large,3024,4032
1,000153,000153.jpg,large,3024,4032
1,000154,000154.jpg,large,3024,4032
1,000188,000188.jpg,large,3024,4032
1,000209,000209.jpg,large,3024,4032
1,000214,000214.jpg,large,3024,4032
1,000268,000268.jpg,large,3024,4032
1,000278,000278.jpg,large,3024,4032
1,000293,000293.jpg,large,3024,4032
1,000297,000297.jpg,large,3024,4032
1,000298,000298.jpg,large,3024,4032
1,000309,000309.jpg,large,3024,4032
1,000311,000311.jpg,large,3024,4032
1,000321,000321.jpg,large,3024,4032
1,000327,000327.jpg,large,3024,4032
1,000358,000358.jpg,large,3024,4032
1,000388,000388.jpg,large,3060,4080
1,000409,000409.jpg,large,3060,4080
1,000428,000428.jpg,large,3060,4080
1,000508,000508.jpg,mid,1050,1400
1,000528,000528.jpg,mid,1050,1400
1,000580,000580.jpg,mid,1050,1400
1,000666,000666.jpg,large,1538,2735
1,000681,000681.jpg,large,1364,2425
1,000707,000707.jpg,large,1243,2210
1,000729,000729.jpg,large,1233,2192
1,000784,000784.jpeg,large,3024,4032
1,000822,000822.jpeg,large,3024,4032
1,000836,000836.jpeg,large,3024,4032
1,000839,000839.jpeg,large,3024,4032
1,000841,000841.jpeg,large,3024,4032
1,000852,000852.jpeg,large,3024,4032
1,000971,000971.jpg,mid,941,1255
1,000974,000974.jpg,small,640,640
1,000980,000980.jpg,small,640,640
1,000987,000987.jpg,mid,987,1316
1,001030,001030.jpg,mid,756,1008
1,001048,001048.jpg,small,640,640
1,001062,001062.jpg,small,640,640
1,001142,001142.jpg,mid,683,910
1,001180,001180.jpg,small,640,640
1,001260,001260.jpg,small,640,640
1,001275,001275.jpg,mid,1083,1443
1,001325,001325.jpg,mid,951,1268
1,001356,001356.jpg,mid,909,1282
1,001365,001365.jpg,mid,981,1308
1,001438,001438.jpg,small,640,640
1,001447,001447.jpg,mid,728,981
1,001501,001501.jpg,small,640,640
1,001510,001510.jpg,mid,972,1296
1,001519,001519.jpg,small,640,640
1,001581,001581.jpg,mid,626,847
1,001584,001584.jpg,small,640,640
1,001588,001588.jpg,mid,765,1020
1,001660,001660.jpg,small,640,640
1,001776,001776.jpg,mid,1112,800
1,001873,001873.jpg,small,640,640
